1,1.02,1.0065171563,0.97,-3.994749,0.625695,0.0
2,1.02,0.97,0.97,-4.009715,-0.004452,2.367753
3,1.02,1.0111873421,0.97,-3.611329,2.509651,0.0
4,1.02,1.0119523858,0.97,-4.107748,0.013214,0.0
5,1.02,1.019773453,0.97,-3.26089,6.39529,0.0
6,1.02,1.012599771,0.97,-4.114238,0.015619,0.0
7,1.02,1.0121425137,0.97,-4.110567,-0.004203,0.0
8,1.02,1.02,0.97,-3.258095,6.444564,-8.18469
9,1.02,1.0197471216,0.97,-3.251045,6.428304,0.0
10,1.02,1.0195592935,0.97,-3.24378,6.431972,0.0
11,1.02,1.0100679679,0.97,-3.512031,2.518936,0.0
12,1.02,1.0116755163,0.97,-4.108443,0.01291,0.0
13,1.02,1.0031015907,0.97,-4.120964,0.013865,0.0
14,1.02,1.017063841,0.97,-4.11422,0.019855,0.0
15,1.02,0.97,0.97,-4.318088,-1.897812,14.368443
16,1.02,1.0190359334,0.97,-3.131064,6.505388,0.0
17,1.02,1.0193976627,0.97,-2.85207,6.50542,0.0
18,1.02,1.02,0.97,-3.02057,8.910682,-8.154909
19,1.02,1.0117497952,0.97,-3.023196,6.53854,0.0
20,1.02,1.019876713,0.97,-3.24361,6.432058,0.0
21,1.02,1.0198114484,0.97,-3.506051,6.449332,0.0
22,1.02,1.015907461,0.97,-0.101157,-0.0,0.0
23,1.02,0.9738883152,0.97,0.0,-0.0,0.0
