1,1.05,1.0106511238,-0.3656408678,0.95
2,1.05,0.9956639212,-1.8489412756,0.95
3,1.05,1.0078513292,-0.0571558074,0.95
4,1.05,1.0144312713,-0.2681020247,0.95
5,1.05,0.9965818009,0.5861262409,0.95
6,1.05,1.0118857735,-1.0923627293,0.95
7,1.05,1.014573248,-0.2535404386,0.95
8,1.05,0.9969784644,0.6657304556,0.95
9,1.05,0.9961068512,0.5456715508,0.95
10,1.05,0.9947140445,0.4444732708,0.95
11,1.05,1.0101912346,-0.0696012259,0.95
12,1.05,1.0144321358,-0.2681260421,0.95
13,1.05,1.0195467049,-1.1067767645,0.95
14,1.05,0.9913070084,-5.887865638,0.95
15,1.05,0.9725578471,-4.6130817285,0.95
16,1.05,0.9958049954,0.0773697322,0.95
17,1.05,1.0019078144,0.6527011384,0.95
18,1.05,0.9978922637,0.5372394801,0.95
19,1.05,0.9580394758,-2.9280452417,0.95
20,1.05,0.9950237289,0.4437131862,0.95
21,1.05,0.9964295001,2.1798953455,0.95
22,1.05,1.0180843642,0.0,0.95
23,1.05,1.0077287058,-0.9656425375,0.95
